,newind,Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Coverage_End_Date,Party_Committee_Contribution,Cand_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Coverage_Start_Date
2161,MN03,"PAULSEN, ERIK MR.",REP,INCUMBENT,5825348.4,5908716.98,283600.69,12/31/2018,0.0,0.0,5861670.42,366969.27,01/01/2017
609,MN03,"SANTA MARIA, BRIAN SANTA MR.",DEM,CHALLENGER,16812.2,16477.33,334.87,09/30/2018,0.0,0.0,12977.33,0.0,04/01/2017
1729,MN04,"MCCOLLUM, BETTY",DFL,INCUMBENT,934597.01,952969.49,106299.47,12/31/2018,0.0,0.0,903078.58,124671.95,01/01/2017
1640,MN04,"RYAN, GREGORY",REP,CHALLENGER,23621.07,20910.52,5706.07,12/31/2018,5000.0,0.0,20907.86,2995.52,01/01/2017
1696,MN05,"FLANAGAN, PEGGY",DFL,OPEN,12149.0,12149.0,0.0,12/31/2017,0.0,45.0,9849.0,0.0,01/01/2017
1303,MN05,"ZIELINSKI, JENNIFER L",REP,OPEN,23354.81,22754.65,600.16,12/31/2018,0.0,0.0,22754.65,0.0,04/01/2018
1105,MN05,"ABDULAHI, JAMAL MR.",DEM,OPEN,148772.94,148602.94,0.0,10/15/2018,0.0,280.0,92494.2,0.0,01/01/2017
1731,MN05,"OMAR, ILHAN",DFL,OPEN,1084183.04,1029353.77,54829.27,12/31/2018,0.0,0.0,831803.05,0.0,06/07/2018
1973,MN05,"DIBBLE, SCOTT",DEM,OPEN,14519.0,14503.41,15.59,03/25/2017,0.0,0.0,14503.41,0.0,01/01/2017
1046,MN05,"ANDERSON KELLIHER, MARGARET",DEM,OPEN,535859.59,535859.59,0.0,12/31/2018,0.0,1000.0,502140.86,0.0,06/08/2018
22,MN05,"TORRES RAY, PATRICIA",DEM,OPEN,96970.51,93540.43,3430.08,12/31/2018,0.0,1949.51,88565.43,0.0,06/05/2018
1875,MN06,"KERN, ALIENA JEANENE",REP,CHALLENGER,15936.83,16624.31,177.38,12/31/2018,0.0,2428.26,16249.72,864.86,01/01/2017
1732,MN06,"TODD, IAN ANDREW",DFL,CHALLENGER,83118.91,81577.21,1541.7,12/31/2018,4318.3,0.0,81577.21,0.0,04/01/2017
913,MN06,"EMMER, THOMAS EARL JR.",REP,INCUMBENT,2216246.71,2171625.58,182185.96,12/31/2018,0.0,0.0,1605703.64,137564.83,01/01/2017
163,MN07,"PROSCH, MATT",REP,CHALLENGER,600.0,0.0,600.0,06/30/2017,0.0,0.0,0.0,0.0,04/01/2017
1108,MN07,"ENSTAD, CHAD LEE",IDP,CHALLENGER,818.18,1362.35,0.0,10/15/2018,0.0,500.0,1137.35,0.0,01/01/2018
1022,MN07,"HUGHES, DAVID",REP,CHALLENGER,261635.53,258329.76,3577.58,12/31/2018,6400.0,0.0,229417.97,271.81,01/01/2017
353,MN07,"SHERMAN, JAYESUN ISRAEL MR.",REP,CHALLENGER,5375.0,342.15,5032.85,12/31/2018,0.0,0.0,259.96,0.0,12/28/2017
2115,MN07,"PETERSON, COLLIN CLARK",DEM,INCUMBENT,1431201.29,1502558.51,498309.94,12/31/2018,200.0,0.0,1486529.9,569667.16,01/01/2017
1387,MN07,"MILLER, TIM",REP,CHALLENGER,51942.18,51942.18,0.0,05/31/2018,0.0,0.0,43043.18,0.0,04/12/2017
1669,MN08,"LEE, MICHELLE DENISE",DEM,OPEN,64189.35,65688.62,0.0,12/31/2018,0.0,1350.0,62286.8,0.0,01/01/2017
1738,MN08,"RADINOVICH, JOSEPH",DFL,OPEN,2432206.52,2390502.73,41703.79,12/31/2018,750.0,3161.15,2347249.31,0.0,01/01/2018
914,MN08,"SANDMAN, RAY HENRY JOHN (SKIP)",IND,OPEN,20291.0,21694.0,0.0,12/31/2018,150.0,202.0,13187.0,2046.0,12/01/2017
1739,MN08,"METSA, JASON",DFL,OPEN,286672.16,286473.09,199.07,10/15/2018,0.0,0.0,276852.09,0.0,02/25/2018
1734,MN08,"PHIFER, LEAH",DFL,OPEN,104646.14,123960.11,0.0,06/30/2018,0.0,0.0,112853.03,0.0,06/01/2017
1546,MN08,"KENNEDY, KIRSTEN HAGEN",DFL,OPEN,21443.41,15716.2,5165.18,09/30/2018,0.0,0.0,15436.52,0.0,01/01/2018
1549,MN08,"SORENSEN, SOREN CHRISTIAN MR.",DFL,OPEN,610.0,535.77,74.23,06/30/2018,0.0,250.0,535.77,0.0,04/01/2018
48,MN08,"STAUBER, PETE",REP,OPEN,1777703.02,1759366.79,18336.23,12/31/2018,0.0,0.0,1730996.55,0.0,07/01/2017
718,MO01,"BUSH, CORI",DEM,CHALLENGER,152906.66,100506.21,0.0,12/31/2018,0.0,0.0,97527.27,0.0,04/23/2017
517,MO01,"DAVIDSON, DEMARCO KAUREEN",DEM,CHALLENGER,8637.68,8874.96,994.22,07/18/2018,0.0,0.0,8874.96,0.0,07/01/2017
1748,MO01,"VROMAN, ROBERT",REP,CHALLENGER,100.0,0.0,100.0,12/09/2018,0.0,0.0,0.0,0.0,07/01/2018
1754,MO01,"CLAY, WILLIAM LACY JR",DEM,INCUMBENT,663728.62,709121.11,194376.65,12/31/2018,0.0,0.0,654633.11,238779.14,01/01/2017
299,MO02,"SACHS, NOGA",REP,CHALLENGER,6433.07,466.07,0.0,12/31/2018,0.0,6074.48,0.0,0.0,03/26/2018
426,MO02,"DUNAWAY, KELLIN LYNN",DEM,CHALLENGER,59944.31,59944.31,0.0,01/08/2018,0.0,100.0,56709.22,0.0,07/01/2017
1042,MO02,"VANOSTRAN, CORT",DEM,CHALLENGER,2348347.76,2348132.03,215.73,12/31/2018,5000.0,12570.31,2262262.78,0.0,07/14/2017
2038,MO02,"HAAS, WILLIAM C",DEM,CHALLENGER,26481.0,5181.0,0.0,08/07/2018,0.0,432.0,2605.0,31.0,07/01/2017
4,MO02,"MESSMER, JOHN P.",DEM,CHALLENGER,14657.22,14657.22,288.19,12/31/2018,0.0,175.0,14448.81,0.0,08/01/2017
1266,MO02,"OSMACK, MARK",DEM,CHALLENGER,199663.57,199663.57,0.0,10/10/2018,0.0,1524.21,175290.9,0.0,07/01/2017
2030,MO02,"WAGNER, ANN L.",REP,INCUMBENT,3056306.73,4196374.44,1028257.05,12/31/2018,0.0,0.0,4009654.44,2168324.76,01/01/2017
1651,MO03,"KIEHNE, JOHN",DEM,CHALLENGER,1280.0,556.26,686.9,06/30/2018,0.0,0.0,536.26,0.0,01/01/2018
1517,MO03,"GEPPERT, KATY",DEM,CHALLENGER,34138.21,34234.48,3.73,12/31/2018,200.0,2643.08,29734.48,100.0,01/01/2018
1697,MO03,"LUETKEMEYER, W BLAINE",REP,INCUMBENT,2340678.81,1935651.17,2263888.97,12/31/2018,0.0,0.0,870831.37,1858861.33,01/01/2017
1483,MO04,"WEBB, JOHN",REP,CHALLENGER,8600.0,6334.0,2480.0,12/31/2018,0.0,0.0,0.0,218.0,01/01/2017
243,MO04,"HOAGENSON, SUZANNE RENEE",DEM,CHALLENGER,460652.56,453311.95,7977.27,11/26/2018,0.0,1272.59,453188.31,0.0,03/01/2017
1833,MO04,"HARTZLER, VICKY",REP,INCUMBENT,1273640.63,1355733.06,280061.32,12/31/2018,100.0,0.0,1134546.29,362153.75,01/01/2017
2046,MO04,"THOMPSON, HALLIE JESS",DEM,CHALLENGER,44843.96,44843.96,0.0,09/30/2018,0.0,957.42,44843.96,0.0,01/01/2018
167,MO04,"BOURGEOIS, JENNA MARIE MS.",REP,CHALLENGER,494.09,143.14,350.95,09/30/2017,0.0,100.0,143.14,0.0,07/01/2017
2163,MO05,"TURK, JACOB",REP,CHALLENGER,102642.92,102763.81,0.0,12/31/2018,0.0,0.0,85605.97,120.89,01/01/2017
351,MO05,"CAMBERS, KRESS FRANKLIN",REP,CHALLENGER,11246.24,8494.85,-769.24,07/18/2018,0.0,1397.4,8494.85,0.0,07/01/2017
1768,MO05,"CLEAVER, EMANUEL II",DEM,INCUMBENT,1172169.66,1156848.57,462076.92,12/31/2018,0.0,0.0,1150893.53,441765.58,01/01/2017
5,MO06,"ANDRES, EDWARD H",DEM,CHALLENGER,13370.0,13370.0,0.0,12/31/2018,0.0,7500.0,7758.79,0.0,11/09/2016
1295,MO06,"MARTIN, HENRY ROBERT",DEM,CHALLENGER,34426.36,42895.31,18290.69,12/31/2018,100.0,67.58,31476.35,0.0,08/01/2017
322,MO06,"APPLE, GARY WINSTON",DEM,CHALLENGER,33924.86,33924.86,0.0,10/14/2018,0.0,7877.18,32949.86,0.0,01/01/2018
1489,MO06,"GRAVES, SAMUEL B JR 'SAM'",REP,INCUMBENT,1715578.05,1619177.38,552212.88,12/31/2018,0.0,0.0,1330109.83,455812.21,01/01/2017
221,MO07,"DE LA TORRE, JOHN FARMER",DEM,CHALLENGER,23659.9,24682.05,-872.15,09/30/2018,50.0,0.0,24682.05,0.0,07/01/2017
2035,MO07,"SCHOOLCRAFT, JAMIE DANIEL",DEM,CHALLENGER,56578.06,56973.21,-539.58,12/31/2018,1000.0,861.5,56973.21,0.0,01/01/2018
250,MO07,"EVANS, JIM",REP,CHALLENGER,7006.89,7006.89,0.0,09/30/2018,0.0,0.0,7006.89,0.0,07/01/2017
1862,MO07,"LONG, BILLY MR.",REP,INCUMBENT,1530792.88,1247421.45,672924.68,12/31/2018,0.0,0.0,1216783.26,389553.25,01/01/2017
909,MO08,"SMITH, JASON T",REP,INCUMBENT,1980991.85,1364407.97,1146238.17,12/31/2018,0.0,0.0,1221255.01,529654.29,01/01/2017
1691,MO08,"ELLIS, KATHRYN GAIL",DEM,CHALLENGER,194234.15,191275.16,2958.99,12/31/2018,0.0,16029.93,184639.79,0.0,04/01/2017
2037,MP01,"SABLAN, GREGORIO KILILI CAMACHO",IND,INCUMBENT,114633.27,104014.45,70588.72,12/31/2018,0.0,0.0,103014.45,59969.9,01/01/2017
1698,MP01,"DEMAPAN, ANGEL ALDAN",REP,CHALLENGER,85313.15,88022.75,-2709.6,12/31/2018,0.0,0.0,86017.75,0.0,10/01/2017
781,MS01,"KELLY, JOHN TRENT TRENT",REP,INCUMBENT,928705.34,897506.74,178085.75,12/31/2018,0.0,0.0,642956.74,146887.15,01/01/2017
1699,MS01,"WADKINS, RANDY MACK DR.",DEM,CHALLENGER,156935.3,156965.51,-10.21,12/31/2018,1500.0,660.81,151749.34,0.0,04/01/2017
188,MS01,"SMITH, CARLTON ELLIOTT",DEM,CHALLENGER,57901.57,44150.08,-632.0,12/31/2018,0.0,0.0,44150.08,0.0,07/01/2017
1477,MS02,"THOMPSON, BENNIE G.",DEM,INCUMBENT,1020602.35,1034483.93,1243060.41,12/31/2018,0.0,0.0,1000506.96,1256941.99,01/01/2017
276,MS03,"PARKER, PERRY MR.",REP,OPEN,396501.24,244735.48,151765.76,07/09/2018,0.0,0.0,244735.48,0.0,01/01/2018
2042,MS03,"DUNN, MORGAN",REP,OPEN,124010.0,124010.0,0.0,12/31/2018,0.0,0.0,84638.8,0.0,01/01/2018
1405,MS03,"HUGHES, WHIT MR.",REP,OPEN,554379.0,554379.0,0.0,09/30/2018,0.0,0.0,553579.0,0.0,01/01/2018
2041,MS03,"GUEST, MICHAEL PATRICK",REP,OPEN,985526.2,952203.2,33323.0,12/31/2018,0.0,0.0,936399.13,0.0,01/01/2018
852,MS03,"DOTY, SALLY",REP,OPEN,122192.2,109143.21,0.0,12/31/2018,0.0,0.0,104099.05,0.0,01/01/2018
1247,MS03,"AYCOX, KEVIN MICHAEL",DEM,OPEN,10502.75,11194.9,160.67,06/30/2018,0.0,0.0,10522.9,100.0,01/01/2018
547,MS04,"ROSE, E BRIAN",REP,CHALLENGER,25851.33,16486.39,9364.94,03/31/2018,0.0,6660.0,16486.39,0.0,11/16/2016
854,MS04,"ANDERSON, JERAMEY DEWAYNE",DEM,CHALLENGER,153050.3,152283.77,515.86,12/31/2018,0.0,0.0,147228.81,0.0,10/01/2017
1863,MS04,"PALAZZO, STEVEN MCCARTY",REP,INCUMBENT,770852.68,770434.28,232116.44,12/31/2018,0.0,0.0,635509.6,231698.04,01/01/2017
1051,MT01,"HEENAN, JOHN",DEM,CHALLENGER,1104281.99,1104281.99,0.0,11/08/2018,0.0,124355.28,870669.06,0.0,07/01/2017
372,MT01,"WALKER, EDWARD ALAN",REP,OPEN,10450.0,10450.0,0.0,04/10/2017,0.0,0.0,10016.0,0.0,01/01/2017
371,MT01,"MILLER, KEN",REP,OPEN,9035.6,9035.6,0.0,03/31/2017,0.0,959.34,9035.6,0.0,01/01/2017
954,MT01,"WOODS, TOM",DEM,CHALLENGER,26325.28,26325.28,0.0,01/30/2018,0.0,100.0,25414.34,0.0,09/01/2017
10,MT01,"SWANSON, ELINOR",LIB,CHALLENGER,12761.69,4023.32,14817.43,09/30/2018,0.0,0.0,4023.32,6079.06,04/01/2018
342,MT01,"WILLIAMS, KATHLEEN",DEM,CHALLENGER,4160972.28,4124015.03,36957.25,12/31/2018,762.7,0.0,3708910.93,0.0,10/01/2017
844,MT01,"MCCARTHY, KELLY",DEM,CHALLENGER,10610.08,10430.08,0.0,03/26/2018,0.0,0.0,10430.08,0.0,01/27/2017
1625,MT01,"QUIST, ROBERT E.",DEM,OPEN,6710492.54,6710492.54,0.0,09/30/2018,0.0,140.0,6386299.14,0.0,01/01/2017
799,MT01,"WICKS, MARK L",LIB,CHALLENGER,6812.0,8599.6,1684.52,12/31/2017,5000.0,0.0,4758.0,1788.0,05/06/2017
321,MT01,"BUTTREY, FRANCIS EDWARD",REP,OPEN,8790.0,8790.0,0.0,07/17/2017,0.0,0.0,6223.0,0.0,01/01/2017
886,MT01,"PETTINATO, JARED SCOTT MR.",DEM,CHALLENGER,89061.17,89061.17,0.0,07/13/2018,0.0,17358.01,79031.17,0.0,07/27/2017
33,MT01,"MOSS, LYNDA BOURQUE",DEM,CHALLENGER,108405.85,108405.85,0.0,06/30/2018,0.0,0.0,84862.42,0.0,10/01/2017
1702,MT01,"GIANFORTE, GREG",REP,INCUMBENT,9831182.04,9800102.35,31079.69,12/31/2018,14199.0,0.0,9527288.91,0.0,01/27/2017
523,MT01,"KIER, GRANT",DEM,CHALLENGER,842507.79,842507.79,0.0,09/30/2018,0.0,2700.0,769801.13,0.0,09/01/2017
1415,NC01,"BUTTERFIELD, G. K.",DEM,INCUMBENT,772055.3,904443.55,511507.84,12/31/2018,381.76,0.0,574728.95,643896.09,01/01/2017
1526,NC01,"ALLISON, ROGER",REP,CHALLENGER,30384.46,30384.46,0.0,12/31/2018,880.0,145.0,29759.46,0.0,01/01/2018
1769,NC02,"CHESSER, GREGORY",REP,CHALLENGER,13589.8,13760.74,-174.94,05/12/2018,0.0,0.0,13454.74,0.0,09/23/2017
1404,NC02,"SEARCY, SAM",DEM,CHALLENGER,581890.13,581890.13,0.0,04/19/2018,0.0,30801.66,221778.76,0.0,06/26/2017
582,NC02,"COLEMAN, LINDA",DEM,CHALLENGER,1727622.39,1618615.96,109006.43,12/31/2018,3937.5,69.0,1602527.25,0.0,10/01/2017
1947,NC02,"MATEMU, JAPHETH",LIB,CHALLENGER,24127.69,24698.18,-570.49,12/31/2018,1215.47,27.69,23978.18,0.0,01/01/2018
581,NC02,"ROMLEY, KEN",DEM,CHALLENGER,655818.16,655818.16,0.0,12/31/2018,0.0,5314.59,610543.64,0.0,07/01/2017
325,NC02,"MILLER, JUSTIN K THERMOCHEM",DEM,CHALLENGER,226.0,142.0,84.0,02/12/2018,0.0,226.0,142.0,0.0,11/13/2017
928,NC02,"HOLDING, GEORGE E MR.",REP,INCUMBENT,3045693.79,3021113.67,38059.11,12/31/2018,0.0,0.0,2758048.17,13478.99,01/01/2017
220,NC03,"DACEY, SCOTT",REP,CHALLENGER,465025.6,460253.89,4771.71,12/31/2018,0.0,11017.07,448523.63,0.0,07/01/2017
1523,NC03,"JONES, WALTER B",REP,INCUMBENT,588562.41,569592.63,124113.76,12/31/2018,0.0,3000.0,559113.91,105143.98,01/01/2017
1420,NC03,"LAW, PHILIP",REP,CHALLENGER,92853.76,91960.44,893.32,12/31/2018,0.0,5428.76,91960.44,0.0,01/01/2018
622,NC04,"HOWE, BARBARA",LIB,CHALLENGER,3257.04,3257.04,0.0,12/31/2018,687.33,0.0,2909.04,0.0,01/01/2018
380,NC04,"BRIAN, LEE ANDREA MS.",REP,CHALLENGER,1690.45,281.79,1408.66,05/11/2018,0.0,288.04,211.79,0.0,07/01/2017
782,NC04,"PRICE, DAVID E",DEM,INCUMBENT,920457.88,969570.88,166450.1,12/31/2018,450.0,0.0,653502.64,215563.1,01/01/2017
628,NC04,"WATKINS, RICHARD LEE III",DEM,CHALLENGER,5750.36,5750.36,0.0,07/31/2018,0.0,0.0,5720.78,0.0,07/01/2017
538,NC05,"FOXX, VIRGINIA ANN",REP,INCUMBENT,2355772.98,2355935.62,2427125.77,12/31/2018,1000.0,0.0,2147925.78,2411990.03,01/01/2017
805,NC05,"MARSHALL, JENNIFER",DEM,CHALLENGER,140620.48,118907.36,17567.0,06/30/2018,0.0,0.0,117241.36,0.0,01/01/2017
615,NC05,"ADAMS, DENISE DARCEL",DEM,CHALLENGER,386150.07,357042.77,29107.3,12/31/2018,0.0,1473.93,345822.77,0.0,01/02/2017
539,NC06,"WALKER, BRADLEY MARK MR.",REP,INCUMBENT,1328330.9,820098.14,733815.93,12/31/2018,0.0,0.0,736282.78,225583.17,01/01/2017
88,NC06,"WATTS, RYAN",DEM,CHALLENGER,340125.01,312666.41,27458.6,12/31/2018,41.67,15462.94,303576.41,0.0,07/01/2017
2052,NC06,"HORNEY, MARGOT MS",DEM,CHALLENGER,1261.3,0.0,1572.63,03/31/2018,0.0,0.0,0.0,311.33,01/01/2018
2065,NC07,"PARKER, GRAYSON",DEM,CHALLENGER,2955.05,2939.66,16.02,12/31/2018,0.0,2500.0,2939.66,0.0,01/01/2018
168,NC07,"GARDNER, JONAH",DEM,CHALLENGER,214.16,214.16,0.0,07/31/2017,0.0,0.0,97.73,0.0,04/01/2017
897,NC07,"ROUZER, DAVID CHESTON",REP,INCUMBENT,1569866.26,1399071.35,838924.21,12/31/2018,1000.0,0.0,1207494.51,668129.3,01/01/2017
1760,NC07,"HORTON, LAUREN",DEM,CHALLENGER,874716.59,873387.91,1328.68,12/31/2018,0.0,0.0,866863.45,0.0,04/01/2017
420,NC08,"MCNEILL, FRANK",DEM,CHALLENGER,713853.16,713853.16,0.0,12/21/2018,0.0,0.0,642970.04,0.0,12/20/2017
1532,NC08,"TIEGEL, MARC",DEM,CHALLENGER,52578.08,52565.68,12.4,12/31/2018,0.0,0.0,52245.68,0.0,01/01/2018
449,NC08,"HUFFMAN, SCOTT",DEM,CHALLENGER,14898.22,4874.45,10023.77,03/31/2018,0.0,0.0,4784.45,0.0,12/11/2017
898,NC08,"HUDSON, RICHARD L. JR.",REP,INCUMBENT,2503543.48,2142318.5,454054.96,12/31/2018,2000.0,0.0,1995970.14,92829.98,01/01/2017
445,NC08,"HUFFMAN, JEFFREY SCOTT",DEM,CHALLENGER,14898.22,4874.45,10023.77,03/31/2018,0.0,0.0,4784.45,0.0,12/11/2017
2138,NC09,"HARRIS, MARK EVERETTE",REP,,2163824.75,2141860.75,21964.0,12/31/2018,6500.0,4004.89,2128830.67,0.0,07/01/2017
1128,NC09,"PITTENGER, ROBERT M THE HONORABLE",REP,INCUMBENT,1413379.31,1414712.57,2913.52,12/31/2018,1500.0,0.0,1122240.23,4246.78,01/01/2017
2014,NC09,"MCCREADY, DANIEL",DEM,CHALLENGER,6671756.64,6333917.99,337838.65,12/31/2018,5383.69,50909.69,6279694.6,0.0,12/30/2016
2122,NC09,"WARREN, MARIA COLLINS",DEM,CHALLENGER,2177.6,1887.61,263.36,12/31/2018,0.0,131.0,1412.2,0.0,02/01/2017
1876,NC09,"CANO, FERNANDO",DEM,CHALLENGER,45479.12,45697.79,537.82,12/31/2018,0.0,27560.62,39247.72,756.49,01/01/2017
2160,NC10,"COLLIAS, GINA ROCKEY",REP,CHALLENGER,31416.7,31311.9,59.11,12/31/2018,0.0,0.0,31311.9,0.0,01/01/2018
1160,NC10,"QUEEN, KENNETH PAUL",DEM,CHALLENGER,8130.22,3828.45,1695.0,09/30/2017,0.0,0.0,1020.54,0.0,04/01/2017
540,NC10,"MCHENRY, PATRICK",REP,INCUMBENT,3768164.83,3897873.1,1266099.11,12/31/2018,20.0,0.0,1942193.51,1395807.38,01/01/2017
2079,NC10,"ROBERTS, IRA",REP,CHALLENGER,5773.07,5669.15,0.0,12/31/2018,0.0,4578.07,5569.15,0.0,04/01/2017
710,NC10,"BROWN, DAVID",DEM,CHALLENGER,130009.98,129496.16,-417.9,12/31/2018,0.0,478.33,127756.16,0.0,07/01/2017
711,NC10,"BLANKENSHIP, SETH BRADEN",REP,CHALLENGER,6812.0,6621.0,134.0,12/31/2018,0.0,0.0,6611.0,0.0,10/01/2017
1172,NC11,"WOODSMALL, STEVE",DEM,CHALLENGER,13478.34,16156.71,-2578.37,12/31/2018,0.0,1442.11,16156.71,100.0,01/01/2018
726,NC11,"PRICE, PHILLIP",DEM,CHALLENGER,237942.85,232876.94,5065.91,12/31/2018,10361.03,0.0,232176.94,0.0,04/26/2017
1728,NC11,"DONALDSON, SCOTT",DEM,CHALLENGER,63006.0,63005.68,0.0,06/30/2018,0.0,101.0,63005.68,0.0,10/01/2017
463,NC11,"COFFAY, MATT",DEM,CHALLENGER,52888.28,52888.28,0.0,09/22/2017,0.0,100.0,39222.21,0.0,04/01/2017
926,NC11,"MEADOWS, MARK R",REP,INCUMBENT,1914489.21,1429053.41,693594.78,12/31/2018,0.0,0.0,1159843.46,208158.98,01/01/2017
1285,NC12,"BONHAM, PAUL",REP,CHALLENGER,9034.0,9034.0,0.0,05/08/2018,0.0,9034.0,9034.0,0.0,07/01/2017
1291,NC12,"ADAMS, ALMA SHEALEY",DEM,INCUMBENT,589889.17,522313.06,174431.37,12/31/2018,0.0,0.0,317402.56,106855.26,01/01/2017
1581,NC12,"PERSSON, CARL",REP,CHALLENGER,4270.0,3914.43,355.57,06/19/2018,0.0,0.0,3914.43,0.0,01/01/2018
989,NC13,"COKER, ADAM",DEM,CHALLENGER,71637.95,72022.4,-1646.88,12/31/2018,0.0,0.0,71472.4,-1262.43,01/01/2017
124,NC13,"BAILEY, THOMAS AARON",LIB,CHALLENGER,5855.0,5677.0,0.0,11/15/2018,0.0,200.0,5478.0,0.0,05/21/2018
2080,NC13,"MANNING, KATHY",DEM,CHALLENGER,4211689.46,4206037.12,5652.34,12/31/2018,5187.33,323550.88,4122250.02,0.0,11/22/2017
2131,NC13,"BUDD, THEODORE P.",REP,INCUMBENT,2432467.17,2381821.24,70238.62,12/31/2018,457.81,0.0,1963882.72,19592.69,01/01/2017
1619,ND01,"SCHNEIDER, MAC SCHNEIDER",DEM,OPEN,761526.66,761526.66,0.0,12/31/2018,5000.0,0.0,733443.66,0.0,01/01/2018
125,ND01,"CAMPBELL, TOM",REP,OPEN,1201139.87,1201058.63,102704.0,12/31/2018,0.0,0.0,1096474.63,0.0,07/01/2017
727,ND01,"ARMSTRONG, KELLY",REP,OPEN,1769588.98,1653121.81,116467.17,12/31/2018,1000.0,1683.48,1651782.68,0.0,01/01/2018
72,ND01,"HANSON, BEN",DEM,OPEN,160779.49,160779.49,0.0,10/14/2018,0.0,3209.25,155253.49,0.0,07/01/2017
85,NE01,"CRAWFORD, DENNIS P",DEM,CHALLENGER,23066.0,22958.0,105.0,06/30/2018,0.0,807.0,22858.0,0.0,04/01/2017
134,NE01,"SVOBODA, STEVE",DEM,CHALLENGER,24697.0,24697.0,0.0,06/01/2018,0.0,0.0,24697.0,0.0,04/23/2018
1263,NE01,"MCCLURE, JESSICA",DEM,CHALLENGER,72676.29,76893.31,0.0,12/31/2018,250.0,1073.27,76643.31,0.0,04/01/2017
1788,NE01,"FORTENBERRY, JEFFREY L. HONORABLE",REP,INCUMBENT,768884.33,651911.56,1703949.06,12/31/2018,0.0,0.0,630020.5,1586976.29,01/01/2017
1877,NE02,"BACON, DONALD J",REP,INCUMBENT,2619423.56,2600431.85,49727.73,12/31/2018,0.0,2764.18,2461928.09,30736.02,01/01/2017
1893,NE02,"ASHFORD, BRAD",DEM,CHALLENGER,640016.12,640744.24,0.0,07/31/2018,0.0,0.0,569279.45,728.12,01/01/2017
2125,NE02,"EASTMAN, KARA",DEM,CHALLENGER,2632721.91,2549874.69,82847.22,12/31/2018,500.0,4745.0,2470633.94,0.0,04/01/2017
979,NE03,"PENNER, KIRK MR.",REP,CHALLENGER,103543.49,103087.75,455.74,12/31/2018,0.0,10193.99,87856.8,0.0,07/01/2017
1641,NE03,"SMITH, ADRIAN",REP,INCUMBENT,1223355.85,1612145.02,787577.74,12/31/2018,0.0,0.0,1084227.38,1176366.91,01/01/2017
1928,NE03,"THEOBALD, PAUL GILBERT",DEM,CHALLENGER,80014.33,73490.07,6524.26,12/31/2018,993.25,2755.17,72835.19,0.0,10/10/2017
247,NH01,"ANDREWS, NAOMI",DEM,OPEN,102750.57,101781.33,969.24,10/30/2018,0.0,0.0,95356.33,0.0,04/01/2018
90,NH01,"SANBORN, ANDY",REP,OPEN,882961.37,882961.37,0.0,12/31/2018,0.0,0.0,624088.54,0.0,04/01/2017
2156,NH01,"SOLDATI, LINCOLN T.",DEM,OPEN,187621.12,180550.2,7070.92,12/31/2018,0.0,0.0,164911.31,0.0,10/01/2017
1044,NH01,"EDWARDS, EDDIE",REP,OPEN,1268155.42,1217271.65,50883.77,12/31/2018,0.0,446.02,1204431.65,0.0,04/01/2017
2147,NH01,"MESSMER, MINDI",DEM,OPEN,132596.2,126942.65,5783.55,12/31/2018,0.0,20.18,125853.65,0.0,10/01/2017
437,NH01,"PAPPAS, CHRIS",DEM,OPEN,2219341.71,2105498.06,113843.65,12/31/2018,5000.0,16758.54,2095841.23,0.0,10/01/2017
440,NH01,"SULLIVAN, MAURA CORBY",DEM,OPEN,2017224.45,2002219.6,15004.85,12/31/2018,1000.0,0.0,1613939.28,0.0,10/01/2017
1551,NH01,"SANDERS, LEVI",DEM,OPEN,42117.04,27982.99,-5496.91,12/31/2018,0.0,100.0,27982.99,0.0,01/01/2018
2133,NH01,"MCEACHERN, DEAGLAN",DEM,OPEN,273448.07,273176.49,271.58,12/31/2018,0.0,6451.32,217468.49,0.0,01/01/2018
526,NH01,"O'ROURKE, TERENCE MURPHY",DEM,OPEN,17847.8,16749.27,1250.94,09/30/2018,0.0,520.96,16483.16,0.0,10/13/2017
1267,NH01,"CROCHETIERE, BRUCE",REP,OPEN,329036.95,312887.69,16149.26,12/31/2018,0.0,254132.88,217495.62,0.0,04/01/2018
126,NH01,"MACKENZIE, MARK S",DEM,OPEN,352081.05,354629.83,-481.89,12/31/2018,0.0,50303.0,153830.96,0.0,10/01/2017
983,NH02,"BURNS, ROBERT ANDREW",REP,CHALLENGER,43186.5,43113.71,72.79,12/31/2018,0.0,25000.0,43113.71,0.0,03/01/2016
1948,NH02,"NEGRON, STEVE",REP,CHALLENGER,461905.1,454910.24,6994.86,12/31/2018,100.0,40172.78,419744.41,0.0,07/01/2017
557,NH02,"KUSTER, ANN MCLANE",DEM,INCUMBENT,3372279.47,3357381.2,1083326.39,12/31/2018,3526.45,0.0,2651698.39,1068428.12,01/01/2017
103,NH02,"LEVENSON, STEWART",REP,CHALLENGER,514562.19,514562.19,0.0,12/31/2018,0.0,305389.92,450386.12,0.0,10/01/2017
1708,NH02,"BLANKENBEKER, LYNNE",REP,CHALLENGER,134043.56,133498.13,545.43,12/31/2018,0.0,481.9,125168.05,0.0,01/08/2018
